EmployeeNumber,JobRole,ONET_SOC_Code,Skill_Name,Skill_Type
1,Sales Executive,41-4012.00,Learning Strategies,Essential
1,Sales Executive,41-4012.00,Active Listening,Essential
1,Sales Executive,41-4012.00,Science,Essential
1,Sales Executive,41-4012.00,Reading Comprehension,Essential
1,Sales Executive,41-4012.00,Active Learning,Essential
1,Sales Executive,41-4012.00,Writing,Essential
1,Sales Executive,41-4012.00,Monitoring,Essential
1,Sales Executive,41-4012.00,Google Docs,Software
1,Sales Executive,41-4012.00,Oracle Business Intelligence Enterprise Edition,Software
1,Sales Executive,41-4012.00,Data entry software,Software
1,Sales Executive,41-4012.00,Cisco Webex,Software
1,Sales Executive,41-4012.00,Google Ads,Software
1,Sales Executive,41-4012.00,Screencastify,Software
1,Sales Executive,41-4012.00,Delphi Technology,Software
1,Sales Executive,41-4012.00,Microsoft Outlook,Software
1,Sales Executive,41-4012.00,Marketo Marketing Automation,Software
1,Sales Executive,41-4012.00,Blink,Software
1,Sales Executive,41-4012.00,Apple macOS,Software
1,Sales Executive,41-4012.00,SalesInSync,Software
1,Sales Executive,41-4012.00,Microsoft Access,Software
1,Sales Executive,41-4012.00,Microsoft Office software,Software
1,Sales Executive,41-4012.00,Zoom,Software
1,Sales Executive,41-4012.00,Extensible markup language XML,Software
1,Sales Executive,41-4012.00,interlinkONE,Software
1,Sales Executive,41-4012.00,Oracle Hyperion,Software
1,Sales Executive,41-4012.00,Dropbox,Software
1,Sales Executive,41-4012.00,Hypertext markup language HTML,Software
1,Sales Executive,41-4012.00,Novo Customer Tracking Software,Software
1,Sales Executive,41-4012.00,Skype,Software
1,Sales Executive,41-4012.00,Apple Keynote,Software
1,Sales Executive,41-4012.00,MASterMind,Software
1,Sales Executive,41-4012.00,Eclipse IDE,Software
1,Sales Executive,41-4012.00,NetSuite ERP,Software
1,Sales Executive,41-4012.00,LogMeIn GoToMeeting,Software
1,Sales Executive,41-4012.00,Oracle Fusion Applications,Software
1,Sales Executive,41-4012.00,Salesforce software,Software
1,Sales Executive,41-4012.00,Airtable,Software
1,Sales Executive,41-4012.00,Adobe Dreamweaver,Software
1,Sales Executive,41-4012.00,Contract tracking software,Software
1,Sales Executive,41-4012.00,Slack,Software
1,Sales Executive,41-4012.00,Tableau,Software
1,Sales Executive,41-4012.00,Autodesk AutoCAD,Software
1,Sales Executive,41-4012.00,Apache Groovy,Software
1,Sales Executive,41-4012.00,SeaMonkey,Software
1,Sales Executive,41-4012.00,Microsoft SharePoint,Software
1,Sales Executive,41-4012.00,Maximizer Software Maximizer Enterprise,Software
1,Sales Executive,41-4012.00,Healthcare common procedure coding system HCPCS,Software
1,Sales Executive,41-4012.00,Yardi software,Software
1,Sales Executive,41-4012.00,vtiger CRM,Software
1,Sales Executive,41-4012.00,Sage 50 Accounting,Software
1,Sales Executive,41-4012.00,3M Post-it App,Software
1,Sales Executive,41-4012.00,SAP Business Objects,Software
1,Sales Executive,41-4012.00,Voice over internet protocol VoIP system software,Software
1,Sales Executive,41-4012.00,Database software,Software
1,Sales Executive,41-4012.00,Fund accounting software,Software
1,Sales Executive,41-4012.00,Oracle PeopleSoft,Software
1,Sales Executive,41-4012.00,Contact management systems,Software
1,Sales Executive,41-4012.00,Contract Central,Software
1,Sales Executive,41-4012.00,Computerized time management systems,Software
1,Sales Executive,41-4012.00,Microsoft PowerPoint,Software
1,Sales Executive,41-4012.00,McAfee,Software
1,Sales Executive,41-4012.00,Google Classroom,Software
1,Sales Executive,41-4012.00,Ardexus TASC,Software
1,Sales Executive,41-4012.00,Oracle Database,Software
1,Sales Executive,41-4012.00,FileMaker Pro,Software
1,Sales Executive,41-4012.00,IBM Cognos Impromptu,Software
1,Sales Executive,41-4012.00,Microsoft Teams,Software
1,Sales Executive,41-4012.00,Computerized call calendars,Software
1,Sales Executive,41-4012.00,LogMeIn GoToWebinar,Software
