EmployeeNumber,ONET_SOC_Code,Missing_Skill_Name,Importance_Weight
1,41-4012.00,HEAT Software GoldMine,3.0
1,41-4012.00,Qlik Tech QlikView,3.0
1,41-4012.00,SamePage StudioCRM,3.0
1,41-4012.00,Microsoft Excel,3.0
1,41-4012.00,Oracle Primavera Enterprise Project Portfolio Management,3.0
1,41-4012.00,Adobe Creative Cloud software,3.0
1,41-4012.00,Facebook,3.0
1,41-4012.00,IBM Notes,3.0
1,41-4012.00,Oracle Eloqua,3.0
1,41-4012.00,Microsoft Dynamics GP,3.0
1,41-4012.00,Social media sites,3.0
1,41-4012.00,Ardexus Mode,3.0
1,41-4012.00,Commence Application Suite,3.0
1,41-4012.00,Oracle E-Business Suite Financials,3.0
1,41-4012.00,Handheld computer device software,3.0
1,41-4012.00,HydraNet,3.0
1,41-4012.00,MicroStrategy,3.0
1,41-4012.00,YouTube,3.0
1,41-4012.00,LinkedIn,3.0
1,41-4012.00,Citrix cloud computing software,3.0
1,41-4012.00,Mozilla Firefox,3.0
1,41-4012.00,SmugMug Flickr,3.0
1,41-4012.00,Soffront CRM Portal,3.0
1,41-4012.00,Google Slides,3.0
1,41-4012.00,FaceTime,3.0
1,41-4012.00,Microsoft Word,3.0
1,41-4012.00,Virtual private networking VPN software,3.0
1,41-4012.00,Relational database management software,3.0
1,41-4012.00,Sage SalesLogix,3.0
1,41-4012.00,Adobe Acrobat,3.0
1,41-4012.00,Critical Thinking,3.5
1,41-4012.00,Microsoft OneNote,3.0
1,41-4012.00,ACT! Premium,3.0
1,41-4012.00,Microsoft Visual Basic,3.0
1,41-4012.00,Google Drive,3.0
1,41-4012.00,IBM Power Systems software,3.0
1,41-4012.00,Mathematics,2.25
1,41-4012.00,Tigerpaw,3.0
1,41-4012.00,Relavis CRM Portal,3.0
1,41-4012.00,Adobe InDesign,3.0
1,41-4012.00,Advantage Signature Marketing Group Web Master,3.0
1,41-4012.00,Intuit QuickBooks,3.0
1,41-4012.00,IBM SPSS Statistics,3.0
1,41-4012.00,Oracle JD Edwards EnterpriseOne,3.0
1,41-4012.00,Microsoft Windows,3.0
1,41-4012.00,Blackboard software,3.0
1,41-4012.00,Geographic information system GIS software,3.0
1,41-4012.00,Speaking,4.0
1,41-4012.00,Microsoft Dynamics,3.0
1,41-4012.00,Aptean Onyx CRM,3.0
1,41-4012.00,SAP software,3.0
1,41-4012.00,Eko,3.0
2,19-1029.01,StataCorp Stata,3.0
2,19-1029.01,dbSNP,3.0
2,19-1029.01,Formula translation/translator FORTRAN,3.0
2,19-1029.01,Bowtie,3.0
2,19-1029.01,Genome Analysis Toolkit GATK,3.0
2,19-1029.01,R,3.0
2,19-1029.01,C,3.0
2,19-1029.01,SAS,3.0
2,19-1029.01,Apache HTTP Server,3.0
2,19-1029.01,Extensible markup language XML,3.0
2,19-1029.01,Python,3.0
2,19-1029.01,Oracle JavaServer Pages JSP,3.0
2,19-1029.01,Hypertext markup language HTML,3.0
2,19-1029.01,ENSEMBL,3.0
