EmployeeNumber,Missing_Skills_Count,Total_Weighted_Gap_Score
1,52,156.75
2,36,110.38
4,14,42.5
5,36,110.88
7,14,43.0
8,14,42.25
10,14,41.75
11,14,42.87
12,53,161.5
13,26,77.13
14,14,42.75
15,14,42.87
16,36,111.26
18,14,41.87
19,14,42.37
20,53,158.12
21,36,110.26
22,14,42.25
23,53,161.88
24,36,111.26
26,53,160.62
27,52,154.25
28,13,40.62
30,36,110.88
31,36,110.88
32,53,160.62
33,36,109.76
35,52,155.87
36,26,79.26
38,53,158.12
39,14,42.0
40,26,80.01
41,14,42.5
42,52,156.63
45,36,109.88
46,36,110.76
47,52,155.75
49,52,157.88
51,36,110.38
52,52,155.87
53,14,41.75
54,14,42.5
55,14,42.37
56,52,155.38
57,14,42.37
58,13,41.0
60,52,156.75
61,36,110.26
62,52,154.37
63,14,42.62
64,14,42.5
65,14,42.5
68,52,156.74
70,26,80.12
72,52,157.5
73,13,41.5
74,52,156.63
75,14,42.37
76,14,42.5
77,53,160.5
78,53,161.5
79,14,41.75
80,13,41.5
81,52,155.12
83,26,77.87
84,53,161.12
85,53,159.24
86,36,110.26
88,36,110.88
90,36,110.38
91,52,153.63
94,36,110.26
95,36,111.38
96,36,109.38
97,14,42.37
98,53,161.38
100,52,156.0
101,13,42.0
102,13,40.5
103,64,194.13
104,14,42.87
105,36,110.38
106,52,158.38
107,36,110.38
110,53,162.0
112,53,159.0
113,52,157.37
116,14,42.37
117,26,78.76
118,52,153.75
119,26,78.01
120,52,157.0
121,52,155.87
124,26,78.87
125,52,155.87
126,13,40.62
128,52,157.62
129,52,156.13
131,52,156.62
132,14,42.75
133,64,192.76
134,36,109.38
137,14,41.75
138,36,110.88
139,26,79.01
140,53,159.24
141,13,41.88
142,52,154.37
143,36,109.76
144,14,42.87
145,26,77.38
147,14,41.87
148,53,160.0
150,14,42.12
151,36,111.26
152,52,154.88
153,53,161.0
154,52,155.62
155,14,42.87
158,53,157.74
159,36,111.38
160,52,155.75
161,36,109.88
