Missing_Skill_Name,Employees_Lacking_Count,Avg_Importance_Weight,Severity_Tier
Microsoft Office software,548,3.0,HIGH
SAP software,537,3.0,HIGH
Microsoft Excel,519,3.0,HIGH
Microsoft PowerPoint,513,3.0,HIGH
Reading Comprehension,467,3.817002141327623,HIGH
Microsoft SharePoint,465,3.0,HIGH
Monitoring,464,3.3351724137931034,HIGH
Active Learning,461,3.3967245119305858,HIGH
Mathematics,456,2.7905263157894735,HIGH
Writing,455,3.466043956043956,HIGH
SAS,454,3.0,HIGH
Critical Thinking,453,3.660220750551876,HIGH
IBM SPSS Statistics,447,3.0,HIGH
Microsoft Word,437,3.0,HIGH
Oracle Database,435,3.0,HIGH
Microsoft Outlook,424,3.0,HIGH
Speaking,419,3.849164677804296,HIGH
Microsoft Access,418,3.0,HIGH
Active Listening,416,3.940625,HIGH
Learning Strategies,415,2.77289156626506,HIGH
IBM Notes,404,3.0,HIGH
Science,404,2.289108910891089,HIGH
Salesforce software,396,3.0,HIGH
FileMaker Pro,381,3.0,HIGH
Database software,381,3.0,HIGH
Tableau,371,3.0,HIGH
Google Docs,359,3.0,HIGH
Adobe Photoshop,339,3.0,HIGH
Microsoft Project,332,3.0,HIGH
Extensible markup language XML,329,3.0,HIGH
StataCorp Stata,318,3.0,HIGH
Hypertext markup language HTML,304,3.0,HIGH
Google Analytics,304,3.0,HIGH
LexisNexis,299,3.0,HIGH
LinkedIn,298,3.0,HIGH
Microsoft Publisher,298,3.0,HIGH
Oracle PeopleSoft,295,3.0,HIGH
Oracle Hyperion,295,3.0,HIGH
MicroStrategy,294,3.0,HIGH
NetSuite ERP,293,3.0,HIGH
Intuit QuickBooks,293,3.0,HIGH
NetSuite NetCRM,292,3.0,HIGH
Tax software,292,3.0,HIGH
HubSpot software,290,3.0,HIGH
Microsoft Dynamics,290,3.0,HIGH
SAP Business Objects,286,3.0,HIGH
YouTube,284,3.0,HIGH
Google Ads,283,3.0,HIGH
McAfee,283,3.0,HIGH
Microsoft Exchange,277,3.0,HIGH
Microsoft Visio,276,3.0,HIGH
Citrix cloud computing software,276,3.0,HIGH
Oracle Fusion Applications,271,3.0,HIGH
Microsoft Dynamics GP,271,3.0,HIGH
Oracle JD Edwards EnterpriseOne,265,3.0,HIGH
Airtable,265,3.0,HIGH
Microsoft Internet Explorer,264,3.0,HIGH
Apple macOS,262,3.0,HIGH
Adobe Acrobat,262,3.0,HIGH
R,262,3.0,HIGH
