O*NET-SOC Code,Title,Workplace Example,Element ID,Element Name,Hot Technology,In Demand,Normalized_Tool_Name
11-1011.00,Chief Executives,Adobe Acrobat,2.E.5.b,Document management software,Y,N,Adobe Acrobat
11-1011.00,Chief Executives,AdSense Tracker,2.E.6.f,Data base user interface and query software,N,N,AdSense Tracker
11-1011.00,Chief Executives,Atlassian JIRA,2.E.5.a,Content workflow software,Y,N,Atlassian JIRA
11-1011.00,Chief Executives,Blackbaud The Raiser's Edge,2.E.6.c,Customer relationship management CRM software,N,N,Blackbaud The Raiser's Edge
11-1011.00,Chief Executives,ComputerEase construction accounting software,2.E.2.a,Accounting software,N,N,ComputerEase construction accounting software
11-1011.00,Chief Executives,Database reporting software,2.E.6.e,Data base reporting software,N,N,Database reporting software
11-1011.00,Chief Executives,Databox,2.E.6.f,Data base user interface and query software,N,N,Databox
11-1011.00,Chief Executives,Email software,2.E.16.a,Electronic mail software,N,N,Email software
11-1011.00,Chief Executives,Exact Software Macola ES Labor Performance,2.E.2.e,Time accounting software,N,N,Exact Software Macola ES Labor Performance
11-1011.00,Chief Executives,Extensible markup language XML,2.E.7.c,Enterprise application integration software,Y,N,Extensible markup language XML
11-1011.00,Chief Executives,Fund accounting software,2.E.2.a,Accounting software,N,N,Fund accounting software
11-1011.00,Chief Executives,Graphic presentation software,2.E.4.b,Graphics or photo imaging software,N,N,Graphic presentation software
11-1011.00,Chief Executives,Halogen e360,2.E.1.c,Human resources software,N,N,Halogen e360
11-1011.00,Chief Executives,Halogen ePraisal,2.E.1.c,Human resources software,N,N,Halogen ePraisal
11-1011.00,Chief Executives,HCSS HeavyBid,2.E.1.e,Project management software,N,N,HCSS HeavyBid
11-1011.00,Chief Executives,HCSS HeavyJob,2.E.1.e,Project management software,N,N,HCSS HeavyJob
11-1011.00,Chief Executives,Human resource information system (HRIS),2.E.1.c,Human resources software,N,N,Human resource information system (HRIS)
11-1011.00,Chief Executives,Infor SSA Human Capital Management,2.E.1.c,Human resources software,N,N,Infor SSA Human Capital Management
11-1011.00,Chief Executives,Intuit QuickBooks,2.E.2.a,Accounting software,Y,N,Intuit QuickBooks
11-1011.00,Chief Executives,Listserv software,2.E.16.a,Electronic mail software,N,N,Listserv software
11-1011.00,Chief Executives,Lyris HQ Web-Analytics Solution,2.E.9.d,Analytical or scientific software,N,N,Lyris HQ Web-Analytics Solution
11-1011.00,Chief Executives,Mentimeter,2.E.4.f,Presentation software,N,N,Mentimeter
11-1011.00,Chief Executives,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N,Microsoft Access
11-1011.00,Chief Executives,Microsoft Dynamics,2.E.2.b,Enterprise resource planning ERP software,N,N,Microsoft Dynamics
11-1011.00,Chief Executives,Microsoft Dynamics AX,2.E.2.b,Enterprise resource planning ERP software,N,N,Microsoft Dynamics AX
11-1011.00,Chief Executives,Microsoft Dynamics GP,2.E.2.b,Enterprise resource planning ERP software,N,N,Microsoft Dynamics GP
11-1011.00,Chief Executives,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,Y,Microsoft Excel
11-1011.00,Chief Executives,Microsoft FRx,2.E.2.d,Financial analysis software,N,N,Microsoft FRx
11-1011.00,Chief Executives,Microsoft Office software,2.E.1.k,Office suite software,Y,Y,Microsoft Office software
11-1011.00,Chief Executives,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,Y,Microsoft Outlook
11-1011.00,Chief Executives,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,Y,Microsoft PowerPoint
11-1011.00,Chief Executives,Microsoft Project,2.E.1.e,Project management software,Y,N,Microsoft Project
11-1011.00,Chief Executives,Microsoft Publisher,2.E.4.k,Desktop publishing software,N,N,Microsoft Publisher
11-1011.00,Chief Executives,Microsoft SharePoint,2.E.5.b,Document management software,Y,N,Microsoft SharePoint
11-1011.00,Chief Executives,Microsoft Word,2.E.4.d,Word processing software,Y,N,Microsoft Word
11-1011.00,Chief Executives,Nedstat Sitestat,2.E.9.d,Analytical or scientific software,N,N,Nedstat Sitestat
11-1011.00,Chief Executives,Norchard Solutions Succession Wizard,2.E.2.e,Time accounting software,N,N,Norchard Solutions Succession Wizard
11-1011.00,Chief Executives,Online advertising reporting software,2.E.9.d,Analytical or scientific software,N,N,Online advertising reporting software
11-1011.00,Chief Executives,Oracle E-Business Suite,2.E.2.b,Enterprise resource planning ERP software,N,N,Oracle E-Business Suite
11-1011.00,Chief Executives,Oracle PeopleSoft,2.E.2.b,Enterprise resource planning ERP software,Y,N,Oracle PeopleSoft
11-1011.00,Chief Executives,Oracle Siebel Server Sync,2.E.6.c,Customer relationship management CRM software,N,N,Oracle Siebel Server Sync
11-1011.00,Chief Executives,PHP,2.E.7.h,Web platform development software,Y,N,PHP
11-1011.00,Chief Executives,Relational database management software,2.E.6.d,Data base management system software,N,N,Relational database management software
11-1011.00,Chief Executives,Sage 50 Accounting,2.E.2.a,Accounting software,N,N,Sage 50 Accounting
11-1011.00,Chief Executives,SAP software,2.E.2.b,Enterprise resource planning ERP software,Y,N,SAP software
11-1011.00,Chief Executives,SmugMug Flickr,2.E.4.b,Graphics or photo imaging software,N,N,SmugMug Flickr
11-1011.00,Chief Executives,Structured query language SQL,2.E.6.f,Data base user interface and query software,Y,N,Structured query language SQL
11-1011.00,Chief Executives,Web browser software,2.E.10.e,Internet browser software,N,N,Web browser software
11-1011.03,Chief Sustainability Officers,Adobe Acrobat,2.E.5.b,Document management software,Y,N,Adobe Acrobat
11-1011.03,Chief Sustainability Officers,Adobe Photoshop,2.E.4.b,Graphics or photo imaging software,Y,N,Adobe Photoshop
11-1011.03,Chief Sustainability Officers,Email software,2.E.16.a,Electronic mail software,N,N,Email software
11-1011.03,Chief Sustainability Officers,Facebook,2.E.4.g,Web page creation and editing software,Y,N,Facebook
11-1011.03,Chief Sustainability Officers,Management information systems MIS,2.E.2.b,Enterprise resource planning ERP software,N,N,Management information systems MIS
