EmployeeNumber,ONET_SOC_Code,Missing_Skill_Name,Importance_Weight,Recommended_Course_ID,Recommended_Course_Title,Match_Similarity
1,41-4012.00,HEAT Software GoldMine,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
1,41-4012.00,Qlik Tech QlikView,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,SamePage StudioCRM,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Microsoft Excel,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.4618
1,41-4012.00,Oracle Primavera Enterprise Project Portfolio Management,3.0,CRS-107,Agile Project Management & Operations,0.4044
1,41-4012.00,Adobe Creative Cloud software,3.0,CRS-103,Python & Software Engineering Architecture,0.2195
1,41-4012.00,Facebook,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,IBM Notes,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Oracle Eloqua,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Microsoft Dynamics GP,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.3265
1,41-4012.00,Social media sites,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Ardexus Mode,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Commence Application Suite,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Oracle E-Business Suite Financials,3.0,CRS-102,Enterprise Data Analytics & Microsoft Excel,0.2711
1,41-4012.00,Handheld computer device software,3.0,CRS-103,Python & Software Engineering Architecture,0.3104
1,41-4012.00,HydraNet,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,MicroStrategy,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,YouTube,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,LinkedIn,3.0,CRS-101,Critical Thinking & Strategic Problem Solving,0.0
1,41-4012.00,Citrix cloud computing software,3.0,CRS-103,Python & Software Engineering Architecture,0.2195
